Date,Open,High,Low,Close,Volume,Symbol
2021-03-31 04:00:00+00:00,55.10597481791718,55.59349110050825,54.61005772595258,54.63527297973633,1226600,QSR
2021-04-01 04:00:00+00:00,54.78658441553993,55.09758758544922,54.28225997709681,55.09758758544922,1109500,QSR
2021-04-05 04:00:00+00:00,55.54306258297137,55.56827783765855,54.72773514631636,55.03873825073242,673000,QSR
2021-04-06 04:00:00+00:00,55.114388497624894,55.7279875338589,54.87063032776932,55.35814666748047,711100,QSR
2021-04-07 04:00:00+00:00,55.358148190875404,56.44244915027903,55.139605271743875,55.94652557373047,1331800,QSR
2021-04-08 04:00:00+00:00,56.072604243520566,56.09781949914023,55.341329766390125,55.80363082885742,1066000,QSR
2021-04-09 04:00:00+00:00,55.60191169486229,56.14826583862305,55.19424789309847,56.14826583862305,840400,QSR
2021-04-12 04:00:00+00:00,56.29115206422929,56.66099294651038,56.00536417896681,56.21549987792969,941000,QSR
2021-04-13 04:00:00+00:00,56.509690799416695,56.51809160951324,55.69436332180268,55.8204460144043,1209300,QSR
2021-04-14 04:00:00+00:00,55.534663141757,55.78682854962478,55.07236203161031,55.206851959228516,1019900,QSR
2021-04-15 04:00:00+00:00,55.53465866838489,55.53465866838489,54.53441075400178,55.164817810058594,987100,QSR
2021-04-16 04:00:00+00:00,55.190037866728694,55.84566015982093,54.89584278556453,55.795223236083984,1397700,QSR
2021-04-19 04:00:00+00:00,56.21550198066876,56.34158468732913,55.509449083903256,55.677555084228516,988500,QSR
2021-04-20 04:00:00+00:00,55.50944174575115,55.6859549466081,54.76135924138176,55.51784896850586,2384000,QSR
2021-04-21 04:00:00+00:00,55.35813983584668,55.81203363961548,55.08075922029382,55.459007263183594,801700,QSR
2021-04-22 04:00:00+00:00,55.5178542125663,56.19449141951388,55.484231731203565,55.93812561035156,1105000,QSR
2021-04-23 04:00:00+00:00,55.71958134285578,56.013770031637314,55.21525696025423,55.68595886230469,891500,QSR
2021-04-26 04:00:00+00:00,55.81204208401062,56.165068513855616,55.606106793518116,55.753204345703125,700300,QSR
2021-04-27 04:00:00+00:00,55.66915219089229,56.471025606105805,55.61871526241502,56.21549987792969,1028000,QSR
2021-04-28 04:00:00+00:00,56.08941398126507,56.761844255066165,56.08941398126507,56.560115814208984,937100,QSR
2021-04-29 04:00:00+00:00,56.96358526870859,57.560376326553026,56.719833489156606,56.97199249267578,1376500,QSR
2021-04-30 04:00:00+00:00,57.12327795077692,59.031313365022,56.98038723879036,57.66963195800781,1974800,QSR
2021-05-03 04:00:00+00:00,58.18236177796172,59.77939405487393,58.17395455608291,59.18260955810547,1412600,QSR
2021-05-04 04:00:00+00:00,59.1742078572129,59.26666806801234,58.22439049406083,58.720314025878906,661400,QSR
2021-05-05 04:00:00+00:00,58.703508873212826,58.91364458323349,57.82934996281986,58.005863189697266,1896900,QSR
2021-05-06 04:00:00+00:00,59.16579300508603,59.16579300508603,56.871115301990336,57.75368118286133,1575200,QSR
2021-05-07 04:00:00+00:00,57.896571111726736,58.569007746781864,57.72005793791175,58.400901794433594,963600,QSR
2021-05-10 04:00:00+00:00,58.308443474779395,58.56060241142329,57.95541070294799,58.08149337768555,898300,QSR
2021-05-11 04:00:00+00:00,57.585584239101316,57.75369022000119,56.51809138060756,57.17371368408203,1022600,QSR
2021-05-12 04:00:00+00:00,57.03922754239932,57.089658051769156,56.12303267424584,56.25752258300781,1253800,QSR
2021-05-13 04:00:00+00:00,56.07260179427528,56.778660984945475,55.77000591439259,56.05579376220703,812000,QSR
2021-05-14 04:00:00+00:00,56.366781787697846,57.04762561919882,56.017955857204996,56.86270523071289,828400,QSR
2021-05-17 04:00:00+00:00,56.61055071717849,56.80387836376803,56.16506410314453,56.71141815185547,619600,QSR
2021-05-18 04:00:00+00:00,56.75343069572069,57.36702958471928,56.518079805528615,56.83749008178711,1245700,QSR
2021-05-19 04:00:00+00:00,56.03058861900487,56.997207751744405,55.90450591082882,56.97199249267578,1090600,QSR
2021-05-20 04:00:00+00:00,57.156897278975364,57.846141960238,57.13168202681704,57.7116584777832,1158900,QSR
2021-05-21 04:00:00+00:00,58.07309919087706,58.07309919087706,57.23676320596431,57.28299331665039,785700,QSR
2021-05-24 04:00:00+00:00,57.56877074207607,57.75369117181278,57.19052907240167,57.33341979980469,722100,QSR
2021-05-25 04:00:00+00:00,57.56876691076016,57.56876691076016,57.05603535800701,57.14009475708008,959400,QSR
2021-05-26 04:00:00+00:00,56.938361256668124,57.78731118752508,56.72822557962258,57.5855827331543,862800,QSR
2021-05-27 04:00:00+00:00,57.9218037125309,58.426128077629855,57.59398614174274,58.30845260620117,1128900,QSR
2021-05-28 04:00:00+00:00,58.37569572361519,58.80437435329419,58.30004994870093,58.60264587402344,1553200,QSR
2021-06-01 04:00:00+00:00,58.83798379584619,59.43476829052145,58.720308341281005,59.23303985595703,1070500,QSR
2021-06-02 04:00:00+00:00,59.43477796818216,59.45999322500455,58.50177498875943,58.61104965209961,766900,QSR
2021-06-03 04:00:00+00:00,58.38410914495272,58.720327587982936,57.84616220123773,58.09832763671875,847700,QSR
2021-06-04 04:00:00+00:00,58.21597999083169,58.392493160376596,57.81672355403981,58.14873504638672,542600,QSR
2021-06-07 04:00:00+00:00,58.39250665949515,58.39250665949515,57.619208858100365,57.720069885253906,1116400,QSR
2021-06-08 04:00:00+00:00,57.720066653495486,58.11512275528051,57.66122892000614,57.678043365478516,930400,QSR
2021-06-09 04:00:00+00:00,57.753697811473806,57.846158036971865,56.86692485807547,56.92156219482422,1222700,QSR
2021-06-10 04:00:00+00:00,57.14008631888084,57.17370237814765,55.954918225554316,57.03921890258789,2390300,QSR
2021-06-11 04:00:00+00:00,57.05603113434507,57.34181896180768,56.766049315203766,57.24095153808594,923400,QSR
2021-06-14 04:00:00+00:00,57.26617453081601,57.619207355141825,57.0140155566772,57.21574401855469,711800,QSR
2021-06-15 04:00:00+00:00,57.45109166060045,57.6528201108943,57.14009496907072,57.4763069152832,671300,QSR
2021-06-16 04:00:00+00:00,57.40906810938298,57.846147485145636,57.13168748348633,57.442684173583984,799200,QSR
2021-06-17 04:00:00+00:00,57.6528192558964,58.37568647263029,56.88792875292505,57.09806442260742,867600,QSR
2021-06-18 04:00:00+00:00,56.46765250436632,56.677788155779886,55.61870267706279,55.63551712036133,1110300,QSR
2021-06-21 04:00:00+00:00,55.69436315727661,56.36679349444524,55.56828046504746,55.95492935180664,3052900,QSR
2021-06-22 04:00:00+00:00,55.954925121323186,55.97186804455073,55.2855665286325,55.74310302734375,3077400,QSR
2021-06-23 04:00:00+00:00,55.7939425510896,55.90409418557829,55.133058601348694,55.150001525878906,1149900,QSR
2021-06-24 04:00:00+00:00,55.25166631435066,55.54821591064218,54.87038918544676,55.16693878173828,848600,QSR
2021-06-25 04:00:00+00:00,55.16693878173828,55.4634883780298,54.955116718059145,55.16693878173828,1100300,QSR
