Date,Open,High,Low,Close,Volume,Symbol
2021-03-31 04:00:00+00:00,326.205597740451,326.205597740451,280.55583479135,283.6942443847656,807600,UI
2021-04-01 04:00:00+00:00,283.69429126583793,285.31106558012897,271.0455123011225,274.9923095703125,295200,UI
2021-04-05 04:00:00+00:00,275.039794386475,279.90909710034526,267.30786223935934,276.54241943359375,214400,UI
2021-04-06 04:00:00+00:00,276.7517215626233,276.7517215626233,269.2765859011047,274.9067077636719,150900,UI
2021-04-07 04:00:00+00:00,269.7140115723689,275.8672201286374,261.78236904634474,264.2930908203125,142100,UI
2021-04-08 04:00:00+00:00,266.28080593240963,275.772164414294,262.5622482601385,273.89862060546875,205300,UI
2021-04-09 04:00:00+00:00,271.188112857788,273.89857329401076,264.6544952844044,267.9831237792969,99600,UI
2021-04-12 04:00:00+00:00,268.8485944609345,268.8485944609345,259.528445459839,261.706298828125,118000,UI
2021-04-13 04:00:00+00:00,262.23878764425615,270.51281656448236,262.23878764425615,268.79144287109375,114100,UI
2021-04-14 04:00:00+00:00,269.38120525096025,271.26426878461325,260.2512450935671,261.9250793457031,83600,UI
2021-04-15 04:00:00+00:00,263.7129518509719,267.5646385433583,262.29588755471866,265.6530456542969,64300,UI
2021-04-16 04:00:00+00:00,264.0838601448241,274.01268547386775,263.2279329316313,273.2994079589844,105000,UI
2021-04-19 04:00:00+00:00,273.29950853219333,276.12408969150044,264.3882961440242,266.8990478515625,134600,UI
2021-04-20 04:00:00+00:00,267.6027059321875,267.6217162174057,261.0690885777279,262.77142333984375,77300,UI
2021-04-21 04:00:00+00:00,262.4860524572528,270.08482418114085,261.7442452090676,266.1190185546875,58200,UI
2021-04-22 04:00:00+00:00,264.55936192911145,269.4857246912939,261.4590022610076,266.10003662109375,72500,UI
2021-04-23 04:00:00+00:00,270.2751075967902,275.1254003112785,266.81332026328545,274.7259521484375,70700,UI
2021-04-26 04:00:00+00:00,275.65798737904686,279.7093838981614,273.15675626803477,276.932373046875,90100,UI
2021-04-27 04:00:00+00:00,276.5044309956903,278.43503454609606,272.9570822931422,275.24908447265625,53200,UI
2021-04-28 04:00:00+00:00,275.0969132639593,275.2585732664239,270.4082797957112,270.5129089355469,93300,UI
2021-04-29 04:00:00+00:00,270.2750806387079,274.8495641421835,266.84182358618307,271.73968505859375,81500,UI
2021-04-30 04:00:00+00:00,269.42864984511243,273.9460735722872,269.0007008007483,271.3592529296875,89200,UI
2021-05-03 04:00:00+00:00,272.12015099671817,277.2937932590327,268.9151617802854,271.7112121582031,63800,UI
2021-05-04 04:00:00+00:00,268.68694629768595,268.68694629768595,260.5841220034993,264.1315002441406,80000,UI
2021-05-05 04:00:00+00:00,266.51854345654755,267.3935100825282,255.2677908865312,256.7704162597656,68400,UI
2021-05-06 04:00:00+00:00,254.4878701364274,255.0204482892675,248.6865413037057,253.31808471679688,120200,UI
2021-05-07 04:00:00+00:00,256.5231685152779,273.889080882996,256.5231685152779,266.6612243652344,124900,UI
2021-05-10 04:00:00+00:00,265.5294319535737,273.3184240770856,261.7442958140199,262.1912841796875,94700,UI
2021-05-11 04:00:00+00:00,256.7894512486471,269.27656886208723,254.8778580259836,268.12579345703125,90900,UI
2021-05-12 04:00:00+00:00,262.733384119791,267.09863869273687,256.7798856321129,258.339599609375,136600,UI
2021-05-13 04:00:00+00:00,258.3396872426435,266.6707510666584,254.45944029044458,256.1712951660156,117400,UI
2021-05-14 04:00:00+00:00,258.29523499898863,273.3915918498557,258.29523499898863,270.17230224609375,111900,UI
2021-05-17 04:00:00+00:00,266.7720098054406,270.0198713580803,264.2194479798496,266.2672119140625,94400,UI
2021-05-18 04:00:00+00:00,268.10542510857965,271.76283349361086,266.2290954589844,266.2290954589844,57100,UI
2021-05-19 04:00:00+00:00,262.67647726772856,272.7248239910043,262.67647726772856,272.02001953125,92300,UI
2021-05-20 04:00:00+00:00,273.2391813269339,280.1349181185716,271.4676071332333,279.5444030761719,112500,UI
2021-05-21 04:00:00+00:00,278.9062602614768,284.3162049382572,272.74390009653456,273.5820617675781,85100,UI
2021-05-24 04:00:00+00:00,274.1058994930774,283.0303613005884,274.1058994930774,278.125244140625,63300,UI
2021-05-25 04:00:00+00:00,280.24915452763554,281.9921560203671,274.14394053074034,274.9249572753906,70800,UI
2021-05-26 04:00:00+00:00,277.4394743767315,282.430308575358,274.8678449162106,276.6965637207031,72600,UI
2021-05-27 04:00:00+00:00,278.9729722264383,288.6594144682928,276.86806305038664,285.1448669433594,108200,UI
2021-05-28 04:00:00+00:00,284.34466811790753,289.3545395280502,282.3921265507347,287.1829528808594,68600,UI
2021-06-01 04:00:00+00:00,288.4688682105794,288.4688682105794,271.5819283298657,276.1346435546875,87000,UI
2021-06-02 04:00:00+00:00,276.3917158088944,288.5926089304359,276.2107478212093,287.4877624511719,108500,UI
2021-06-03 04:00:00+00:00,284.76379082056985,293.7072899796852,283.8303784409531,293.46917724609375,89200,UI
2021-06-04 04:00:00+00:00,294.1931109989504,306.21303966259285,293.8311749172936,305.96539306640625,100900,UI
2021-06-07 04:00:00+00:00,305.14629412746024,307.06073017775253,296.84091920789314,298.8125,71700,UI
2021-06-08 04:00:00+00:00,299.31731583374295,306.80356812424856,298.68869456968093,304.6605529785156,65100,UI
2021-06-09 04:00:00+00:00,304.73671207630554,304.73671207630554,298.6314976182285,300.8602294921875,60500,UI
2021-06-10 04:00:00+00:00,302.76511456205014,307.33686752452536,299.75536605293036,306.8034973144531,63300,UI
2021-06-11 04:00:00+00:00,304.9557645804633,309.3656175111526,302.898466862482,305.4224853515625,60100,UI
2021-06-14 04:00:00+00:00,303.9272357452683,304.7844361586628,301.39371163171836,304.77490234375,48600,UI
2021-06-15 04:00:00+00:00,304.7653254627608,304.7653254627608,297.83148234393013,300.7840576171875,44300,UI
2021-06-16 04:00:00+00:00,300.9173568782066,301.2030805379468,287.30682460031824,291.7833557128906,124600,UI
2021-06-17 04:00:00+00:00,289.4784137410392,295.8503129985365,288.04973729884694,292.0309753417969,70800,UI
2021-06-18 04:00:00+00:00,292.13583455523593,293.4216494943843,279.392032790639,282.1160583496094,170200,UI
