Date,Open,High,Low,Close,Volume,Symbol
2021-03-31 04:00:00+00:00,208.57000732421875,216.52000427246094,207.66000366210938,210.75999450683594,1697000,TEAM
2021-04-01 04:00:00+00:00,216.00999450683594,228.0,212.25,223.05999755859375,3244200,TEAM
2021-04-05 04:00:00+00:00,224.3300018310547,225.0,218.5,221.22999572753906,1122600,TEAM
2021-04-06 04:00:00+00:00,221.17999267578125,227.18499755859375,218.8000030517578,223.1300048828125,963200,TEAM
2021-04-07 04:00:00+00:00,222.3300018310547,223.14999389648438,217.27000427246094,217.6300048828125,873800,TEAM
2021-04-08 04:00:00+00:00,221.77000427246094,224.7899932861328,219.00999450683594,224.11000061035156,2409900,TEAM
2021-04-09 04:00:00+00:00,223.85000610351562,225.8699951171875,218.6999969482422,225.39999389648438,1572500,TEAM
2021-04-12 04:00:00+00:00,225.11000061035156,234.91000366210938,224.6300048828125,230.66000366210938,1478300,TEAM
2021-04-13 04:00:00+00:00,234.89999389648438,243.39999389648438,234.0500030517578,242.19000244140625,2085300,TEAM
2021-04-14 04:00:00+00:00,243.75,244.92999267578125,231.08999633789062,231.47999572753906,2079100,TEAM
2021-04-15 04:00:00+00:00,233.69000244140625,240.85000610351562,233.10000610351562,239.1300048828125,1149800,TEAM
2021-04-16 04:00:00+00:00,239.25,239.25,233.0800018310547,234.75999450683594,900800,TEAM
2021-04-19 04:00:00+00:00,232.9149932861328,236.0,227.82000732421875,228.2100067138672,937000,TEAM
2021-04-20 04:00:00+00:00,227.5500030517578,230.72000122070312,224.52999877929688,226.33999633789062,853200,TEAM
2021-04-21 04:00:00+00:00,225.72000122070312,227.61000061035156,222.0,226.5800018310547,927500,TEAM
2021-04-22 04:00:00+00:00,226.02000427246094,232.47500610351562,225.0500030517578,228.4499969482422,881400,TEAM
2021-04-23 04:00:00+00:00,229.41000366210938,232.30499267578125,228.4499969482422,230.82000732421875,568100,TEAM
2021-04-26 04:00:00+00:00,230.67999267578125,236.73800659179688,227.66000366210938,236.5,763300,TEAM
2021-04-27 04:00:00+00:00,237.02999877929688,237.89999389648438,232.11000061035156,236.1199951171875,706900,TEAM
2021-04-28 04:00:00+00:00,235.0,237.77000427246094,232.8300018310547,235.9600067138672,597500,TEAM
2021-04-29 04:00:00+00:00,235.0399932861328,236.0,224.47999572753906,228.1199951171875,1414800,TEAM
2021-04-30 04:00:00+00:00,231.0500030517578,241.0,230.0,237.55999755859375,3070500,TEAM
2021-05-03 04:00:00+00:00,237.7899932861328,238.30999755859375,227.6999969482422,229.99000549316406,1760200,TEAM
2021-05-04 04:00:00+00:00,226.0500030517578,226.8000030517578,218.5800018310547,225.02000427246094,2297300,TEAM
2021-05-05 04:00:00+00:00,226.72999572753906,231.24000549316406,222.30499267578125,223.5,788000,TEAM
2021-05-06 04:00:00+00:00,221.6300048828125,221.92999267578125,214.61000061035156,218.77000427246094,1127900,TEAM
2021-05-07 04:00:00+00:00,224.0,227.0,219.00999450683594,219.6300048828125,836500,TEAM
2021-05-10 04:00:00+00:00,216.57000732421875,218.25,213.39999389648438,215.8300018310547,1281700,TEAM
2021-05-11 04:00:00+00:00,207.91000366210938,226.69000244140625,207.8300018310547,224.44000244140625,2258900,TEAM
2021-05-12 04:00:00+00:00,216.36000061035156,225.1699981689453,215.7899932861328,223.8699951171875,1907300,TEAM
2021-05-13 04:00:00+00:00,227.3000030517578,229.5,212.0,212.4499969482422,2048100,TEAM
2021-05-14 04:00:00+00:00,217.58999633789062,218.83999633789062,212.57000732421875,214.99000549316406,2874100,TEAM
2021-05-17 04:00:00+00:00,213.89999389648438,214.85000610351562,208.2100067138672,212.3000030517578,2015300,TEAM
2021-05-18 04:00:00+00:00,214.17999267578125,220.41000366210938,213.5,217.02000427246094,1999500,TEAM
2021-05-19 04:00:00+00:00,211.91000366210938,216.5800018310547,209.27499389648438,216.17999267578125,1777200,TEAM
2021-05-20 04:00:00+00:00,218.99000549316406,227.14999389648438,218.13999938964844,224.66000366210938,2408100,TEAM
2021-05-21 04:00:00+00:00,225.0,226.89999389648438,221.49000549316406,223.64999389648438,1947400,TEAM
2021-05-24 04:00:00+00:00,224.2100067138672,227.5,221.6999969482422,222.60000610351562,2434600,TEAM
2021-05-25 04:00:00+00:00,221.02000427246094,228.74000549316406,221.02000427246094,225.72000122070312,1915100,TEAM
2021-05-26 04:00:00+00:00,225.97000122070312,231.92999267578125,225.92999267578125,230.49000549316406,1134100,TEAM
2021-05-27 04:00:00+00:00,226.69000244140625,233.0,223.4499969482422,231.88999938964844,1112100,TEAM
2021-05-28 04:00:00+00:00,233.6699981689453,239.26400756835938,233.2050018310547,233.27999877929688,1010600,TEAM
2021-06-01 04:00:00+00:00,233.49000549316406,234.64999389648438,225.125,231.97999572753906,963300,TEAM
2021-06-02 04:00:00+00:00,231.05999755859375,234.58799743652344,230.36000061035156,231.4499969482422,780700,TEAM
2021-06-03 04:00:00+00:00,228.3300018310547,230.6699981689453,221.08999633789062,221.3699951171875,1196200,TEAM
2021-06-04 04:00:00+00:00,225.2899932861328,227.75999450683594,224.07000732421875,225.8800048828125,764800,TEAM
2021-06-07 04:00:00+00:00,224.55999755859375,228.44000244140625,221.4600067138672,228.1300048828125,776500,TEAM
2021-06-08 04:00:00+00:00,230.0,234.74000549316406,226.49000549316406,228.92999267578125,967900,TEAM
2021-06-09 04:00:00+00:00,230.7899932861328,234.9199981689453,230.74000549316406,232.30999755859375,950800,TEAM
2021-06-10 04:00:00+00:00,229.1999969482422,239.0399932861328,229.10000610351562,238.55999755859375,1137900,TEAM
